name,category,district,latitude,longitude
99 Speedmart,shopping,Hulu Langat,3.1515211,101.7605816
Surau,community,WP Kuala Lumpur,3.222894,101.6724485
Dhaulagiri Fancy Shop,shopping,WP Kuala Lumpur,3.1474647999999994,101.6961019
Regno DIY,other,WP Kuala Lumpur,3.1088271,101.6702229
KK Super Mart,shopping,WP Kuala Lumpur,3.1467131,101.70958849999998
Cheese Potato,food_drink,WP Kuala Lumpur,3.1460611,101.70988549999998
Onde,food_drink,WP Kuala Lumpur,3.1869875000000003,101.6281414
Café Deli by El Mesón,food_drink,WP Kuala Lumpur,3.1868715999999995,101.6280564
Nando's,food_drink,WP Kuala Lumpur,3.1867268000000006,101.6277127
CIMB Bank,other,WP Kuala Lumpur,3.186626,101.6279688
McDonald's,food_drink,WP Kuala Lumpur,3.1875857,101.6272594
Dragon-i,food_drink,WP Kuala Lumpur,3.1867057,101.6277943
The Coffee Bean & Tea Leaf,food_drink,WP Kuala Lumpur,3.1866077,101.6277948
ParkCity Cleaners,other,WP Kuala Lumpur,3.187133,101.6272197
Baskin-Robbins,other,WP Kuala Lumpur,3.1870272,101.6274869
Shojikiya,shopping,WP Kuala Lumpur,3.1867621999999995,101.6279534
myNEWS.com,shopping,WP Kuala Lumpur,3.1871821,101.6272879
The Barn,food_drink,WP Kuala Lumpur,3.1871315999999994,101.6283221
The Social,food_drink,WP Kuala Lumpur,3.1870451000000006,101.6281826
Dunkin',food_drink,WP Putrajaya,2.9315088000000005,101.6707515
Malik Streams Corporation,shopping,WP Kuala Lumpur,3.1468296,101.6973787
Malik Streams Corporation,shopping,WP Kuala Lumpur,3.1469605,101.6974666
BM & Sons Group,shopping,WP Kuala Lumpur,3.146987,101.6974265
Danaryi,shopping,WP Kuala Lumpur,3.1462712,101.69735749999998
GTC Bridal Gallery,shopping,WP Kuala Lumpur,3.2188905999999995,101.6715578
7-Eleven,shopping,Petaling,3.1132659,101.5912602
myNEWS.com,shopping,WP Kuala Lumpur,3.1596212,101.71766809999998
myNEWS.com,shopping,WP Kuala Lumpur,3.1665828,101.652319
KK Super Mart,shopping,WP Kuala Lumpur,3.1072155999999995,101.7056847
7-Eleven,shopping,WP Kuala Lumpur,3.1071824,101.70582330000002
Starbucks,food_drink,Sepang,2.747351,101.7140269
AIR MATA KUCING,food_drink,WP Kuala Lumpur,3.1444898,101.69781899999998
AIR MATA KUCING,food_drink,WP Kuala Lumpur,3.1444898,101.69781899999998
AIR MATA KUCING,food_drink,WP Kuala Lumpur,3.1444898,101.69781899999998
Opensoft Technologies Sdn Bhd,work,WP Putrajaya,2.9451453,101.7215261
Hari Hari,shopping,WP Kuala Lumpur,3.1446655,101.69770269999998
myNEWS.com,shopping,WP Kuala Lumpur,3.1620066,101.716821
Maybank,other,WP Kuala Lumpur,3.1265347999999995,101.6779629
Hafila Maju,food_drink,WP Kuala Lumpur,3.1625706999999994,101.71197589999998
7-Eleven,shopping,WP Kuala Lumpur,3.2055964,101.7329309
Family Bundle,shopping,WP Kuala Lumpur,3.1438376,101.69778789999998
Floresta Hotel @ Chinatown,entertainment,WP Kuala Lumpur,3.1436150999999994,101.6978776
myNEWS.com,shopping,WP Kuala Lumpur,3.1574944,101.7180925
ZUS Coffee,food_drink,WP Kuala Lumpur,3.1600034,101.71676329999998
One Living,shopping,Hulu Langat,3.1349764,101.7392183
KK Super Mart,shopping,Hulu Langat,3.1355127,101.7416469
Syarikat Sin Hoe Hin,shopping,Hulu Langat,3.0715872,101.7668854
Miss Coco,food_drink,WP Kuala Lumpur,3.1491096999999995,101.7077201
Soon Fatt Roast Duck,food_drink,WP Kuala Lumpur,3.1357875,101.71595069999998
Restoran Sun Gee,food_drink,Hulu Langat,3.1185115000000003,101.76247899999998
